Ranking,Name,IG Username,Money,YTD Victory,Age,Year (Turned Pro),Driving Distance
1,Justin Thomas,justinthomas34,"$5,539,361",1,27,2013,301.7
2,Bryson DeChambeau,brysondechambeau,"$5,443,091",2,27,2016,321.1
3,Xander Schauffele,xanderschauffele,"$4,203,501",0,27,2015,306
4,Hideki Matsuyama,hidekimatsuyama1,"$3,741,419",1,29,2013,296.8
5,Jordan Spieth,jordanspieth,"$3,691,056",1,27,2012,297.2
6,Dustin Johnson,djohnsonpga,"$3,686,601",1,36,2007,313.1
7,Viktor Hovland,viktor_hovland,"$3,653,692",1,23,2019,301.5
8,Patrick Cantlay,patrickcantlay,"$3,469,410",1,29,2012,300.7
9,Jon Rahm,jonrahm,"$3,406,382",0,26,2016,306.9
10,Billy Horschel,billyho_golf,"$3,387,407",1,34,2009,293.7
11,Tony Finau,tonyfinaugolf,"$3,185,061",0,31,2007,305.1
12,Jason Kokrak,jasonkokrak,"$3,105,808",1,35,2008,304.7
13,Lee Westwood,westwood_lee,"$3,058,757",0,47,1993,295.3
14,Harris English,harris_english,"$3,043,548",1,31,2011,296.9
15,Cameron Smith,cameronsmithgolf,"$3,003,045",0,27,2013,296.8
16,Patrick Reed,preedgolf,"$2,859,655",1,30,2011,288.8
17,Brooks Koepka,bkoepka,"$2,823,715",1,30,2012,307.7
18,Corey Conners,coreyconners,"$2,785,045",0,29,2015,294.6
19,Collin Morikawa,collin_morikawa,"$2,749,517",1,24,2019,293.6
20,Max Homa,max.homa,"$2,664,442",1,30,2013,303.2
21,Sungjae Im,sungjaeim330,"$2,604,053",0,23,2015,297.7
22,Daniel Berger,db_straitvibin,"$2,576,330",1,28,2013,297.4
23,Joaquin Niemann,joaco_niemann,"$2,549,338",0,22,2018,312.9
24,Scottie Scheffler,scottie.scheffler,"$2,543,512",0,24,2018,304.8
25,Si Woo Kim,siwookim_official,"$2,379,558",1,25,2012,297.6
26,Carlos Ortiz,carlosortizgolf,"$2,249,905",1,29,2013,303.5
27,Matt Jones,mattjonesgolf,"$2,232,935",1,40,2001,304.7
28,Sergio Garcia,thesergiogarcia,"$2,222,400",1,41,1999,308.3
29,Brian Harman,harmanbrian,"$2,170,103",0,34,2009,292.5
30,Matthew Wolff,matthew_wolff5,"$2,161,354",0,21,2019,314.2
31,Kevin Na,kevinna915,"$2,068,792",1,37,2001,288.5
32,Charley Hoffman,charleyhoffman,"$2,041,407",0,44,2000,307.3
33,Ryan Palmer,palmerpga,"$1,939,924",0,44,2000,303.7
34,Stewart Cink,stewartcink,"$1,939,215",1,47,1995,305.4
35,Webb Simpson,webbsimpson,"$1,847,490",0,35,2008,292.2
36,Louis Oosthuizen,louisoosthuizen57,"$1,803,684",0,38,2003,297.2
37,Rory McIlroy,rorymcilroy,"$1,782,342",0,31,2007,318.2
38,Talor Gooch,talorgooch,"$1,740,827",0,29,2014,300.2
39,Abraham Ancer,abrahamancer,"$1,687,387",0,30,2013,289.8
40,Paul Casey,paul_caseygolf,"$1,682,619",0,43,2000,302
41,Russell Henley,ssellhenley66be,"$1,650,170",0,32,2011,290.2
42,Chris Kirk,chris_kirk_,"$1,589,472",0,35,2007,290.4
43,Martin Laird,,"$1,587,784",1,38,2004,296.7
44,Matt Fitzpatrick,mattfitz94,"$1,527,677",0,26,2014,288.4
45,Cameron Tringale,camtring,"$1,505,962",0,33,2009,300.8
46,Robert Streb,therealstrebber,"$1,414,465",1,34,2009,289.2
47,Lanto Griffin,lantogriffin,"$1,349,759",0,32,2010,303.5
48,Peter Malnati,peter_malnati,"$1,333,149",0,33,2009,290.7
49,Sam Burns,samburns66,"$1,304,922",0,24,2017,307.3
50,Marc Leishman,marcleish,"$1,290,430",0,37,2005,290.6
51,Tyrrell Hatton,tyrrellhatton,"$1,281,611",0,29,2011,295.8
52,Aaron Wise,originalwiseguy,"$1,254,218",0,24,2018,302.2
53,Adam Long,adamlong.10,"$1,250,633",0,33,2010,289.6
54,Sebastián Muñoz,jsmunoz23,"$1,250,567",0,28,2015,297.9
55,Maverick McNealy,,"$1,249,543",0,25,2017,296.2
56,Kevin Kisner,kevin_kisner,"$1,196,576",0,37,2006,286.9
57,Tom Hoge,hogegolf,"$1,145,747",0,31,2011,289.2
58,J.T. Poston,jtposton,"$1,104,525",0,27,2015,301
59,Bubba Watson,bubbawatson,"$1,103,184",0,42,2002,304.2
60,Matt Kuchar,mattkuchargolf,"$1,082,520",0,42,2000,287.2
61,Shane Lowry,shanelowrygolf,"$1,070,480",0,34,2009,299.5
62,Lucas Glover,lucas_glover__,"$1,065,677",0,41,2001,294.4
63,Harry Higgs,harryhiggs1991,"$1,057,388",0,29,2004,297.4
64,Henrik Norlander,hnorland,"$1,049,057",0,34,2011,298.1
65,James Hahn,jameshahnpga,"$1,048,185",0,39,2003,299.8
66,Brendan Steele,brendansteelegolf,"$1,044,220",0,38,2005,299.8
67,Cameron Davis,cam_davis77,"$1,040,330",0,26,2016,311.6
68,Patton Kizzire,pkizzire,"$1,030,595",0,35,2008,301.6
69,Kevin Streelman,streelman54,"$1,028,057",0,42,2001,293.7
70,Zach Johnson,zjohnsonpga,"$1,027,430",0,45,1998,290.7
71,Dylan Frittelli,frittellivision,"$1,014,202",0,30,2012,310.4
72,Mackenzie Hughes,machughesgolf,"$1,010,968",0,30,2013,292.8
73,Andrew Putnam,andrewputnam,"$996,678",0,32,2011,285.5
74,Brandon Hagy,bhagygolf,"$996,263",0,30,2014,312.2
75,Joel Dahmen,joeldahmen,"$988,481",1,33,2010,294.9
76,Wyndham Clark,wyndhamclark,"$986,801",0,27,2017,319.4
77,C.T. Pan,ctpan63,"$984,516",0,29,2015,293.8
78,Keegan Bradley,keeganbradley1,"$975,456",0,34,2008,300
79,Kyoung-Hoon Lee,,"$967,772",0,29,2010,298.5
80,Jason Day,jasondayofficial,"$951,209",0,33,2006,300.3
81,Matthew NeSmith,knedsmith,"$943,614",0,27,2016,297.6
82,Branden Grace,bgrace20,"$942,947",1,32,2007,293.2
83,Hudson Swafford,hud_swafford,"$942,544",1,33,2011,301.4
84,Tyler McCumber,tyler_mccumber,"$916,242",0,30,2013,308.4
85,Matt Wallace,mattwallacegolf,"$901,145",0,31,2012,298.7
86,Denny McCarthy,mccarthy_denny,"$895,803",0,28,2016,295.1
87,Brendon Todd,brendontoddpga,"$888,609",0,35,2007,275.9
88,Brian Gay,briangaypga,"$868,806",1,49,1994,287.8
89,Doug Ghim,dougghim,"$867,328",0,24,2018,295.2
90,Emiliano Grillo,grilloemiliano,"$850,128",0,28,2011,299.4
91,Tommy Fleetwood,officialtommyfleetwood,"$822,546",0,30,2011,298.9
92,Nate Lashley,nlashley001,"$812,986",0,38,2005,292.8
93,Russell Knox,,"$805,597",0,35,2007,291.1
94,Francesco Molinari,chiccogolf,"$779,181",0,38,2004,292.8
95,Michael Thompson,michaelthompsongolf,"$772,703",0,35,2008,289.3
96,Austin Cook,austincookgolf,"$768,257",0,30,2014,291.4
97,Sepp Straka,seppstraka,"$750,292",0,27,2016,303
98,Charles Howell III,charleshowell3,"$735,459",0,41,2000,297.9
99,Rory Sabbatini,rory_sabbatini,"$729,645",0,45,1998,288.4
100,Richy Werenski,rwerenski,"$703,414",0,29,2014,294.8
101,Chase Seiffert,chase_seiffert,"$703,261",0,29,2013,291.3
102,Adam Hadwin,ahadwingolf,"$690,770",0,33,2009,294.6
103,Adam Scott,adamscottofficial,"$689,360",0,40,2000,308
104,Sam Ryder,sryder1215,"$681,057",0,31,2012,296.3
105,Harold Varner III,hv3_golf,"$668,129",0,30,2012,301.8
106,Kyle Stanley,kylemstanley,"$666,023",0,33,2009,292.7
107,Alex Noren,alexnoren1,"$656,005",0,38,2005,298.3
108,Justin Rose,justinprose99,"$654,576",0,40,1998,298.4
109,Ian Poulter,ianjamespoulter,"$651,907",0,45,1995,285.5
110,Anirban Lahiri,banstaa,"$632,237",0,33,2007,296.8
111,Erik van Rooyen,erikvanrooyen,"$624,890",0,31,2013,302.6
112,Camilo Villegas,camilovillegasofficial,"$623,396",0,39,2004,294.2
113,Cameron Champ,cameron__champ,"$619,521",0,25,2017,318.3
114,Jhonattan Vegas,jhonattanvegas,"$609,261",0,36,2008,304.73
115,Doc Redman,doc.redman,"$599,206",0,23,2018,294.8
116,Steve Stricker,stevestrickerpga,"$586,381",0,54,1990,283.27
117,Brian Stuard,brianstuardgolf,"$586,187",0,38,2005,281.2
118,Chez Reavie,chezreavie,"$585,732",0,39,2004,280.6
119,Luke List,,"$538,203",0,36,2007,313
120,John Huh,johnhuh21,"$534,007",0,30,2008,291.6
121,Nick Taylor,nicktaylorgolf,"$521,578",0,32,2010,294.1
122,Patrick Rodgers,prodgersgolf,"$516,855",0,28,2014,306.1
123,Cameron Percy,,"$505,731",0,46,1998,283.8
124,Kris Ventura,krisventura95,"$505,531",0,26,2018,304.7
125,Andrew Landry,andrewlandrygolf,"$502,458",0,33,2009,292.1
126,Rafael Campos,rafacamposgolf,"$497,244",0,32,2011,297.5
127,Rickie Fowler,rickiefowler,"$495,701",0,32,2009,301.1
128,Gary Woodland,gary.woodland,"$492,975",0,36,2007,301.1
129,Bo Hoag,bohoag,"$484,359",0,32,2011,293.1
130,Brandt Snedeker,brandtsnedeker,"$483,199",0,40,2004,287.3
131,Brice Garnett,,"$426,153",0,37,2006,288.4
132,Pat Perez,patperezgolf,"$417,601",0,45,1997,293.8
133,Charl Schwartzel,charlschwartzel,"$417,580",0,36,2002,302.5
134,Michael Gligic,mgligicgolf,"$411,820",0,31,2008,302.9
135,Scott Piercy,scottpiercypga,"$402,095",0,42,2001,291.9
136,Chesson Hadley,chesson_hadley,"$366,807",0,33,2010,297
137,Mark Hubbard,homelesshubbsgolf,"$345,817",0,31,2012,278.6
138,Scott Stallings,scottstallings,"$344,554",0,36,2007,294.5
139,Ryan Armour,ryno4824,"$344,456",0,45,1999,279.5
140,Tyler Duncan,tduncgolf,"$343,185",0,31,2012,288.4
141,Kramer Hickok,kramerhickok,"$342,775",0,28,2015,293.1
142,Byeong Hun An,benan0917,"$337,054",0,29,2011,299.4
143,Troy Merritt,,"$331,851",0,35,2008,291.6
144,Robby Shelton,robbysheltoniv,"$329,089",0,25,2016,294.5
145,Phil Mickelson,philmickelson,"$327,741",0,50,1992,300.8
146,Keith Mitchell,k_m_mitchell,"$321,968",0,29,2014,304.8
147,Vincent Whaley,vincewhaley,"$315,279",0,26,2017,295.5
148,Roger Sloan,rogersloan87,"$310,860",0,33,2009,295.2
149,David Hearn,,"$307,788",0,41,2001,275.8
150,Will Gordon,will_gordon,"$307,584",0,24,2019,314.7